Name,Phase,Drug Type,Passes Rule of Five,Chirality,Smiles,Selfies
PYRILAMINE,4,1:Synthetic Small Molecule,1,Achiral Molecule,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,[C][O][C][=C][C][=C][Branch2][Ring1][Ring2][C][N][Branch1][Branch2][C][C][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring1]
DOXEPIN,4,1:Synthetic Small Molecule,1,Achiral Molecule,CN(C)CCC=C1c2ccccc2COc2ccccc21,[C][N][Branch1][C][C][C][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C]
LAPAQUISTAT ACETATE,3,1:Synthetic Small Molecule,0,Single Stereoisomer,COc1cccc([C@H]2O[C@H](CC(=O)N3CCC(CC(=O)O)CC3)C(=O)N(CC(C)(C)COC(C)=O)c3ccc(Cl)cc32)c1OC,[C][O][C][=C][C][=C][C][Branch2][Branch1][S][C@H1][O][C@H1][Branch2][Ring1][=Branch1][C][C][=Branch1][C][=O][N][C][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][Ring1][#Branch2][C][=Branch1][C][=O][N][Branch1][S][C][C][Branch1][C][C][Branch1][C][C][C][O][C][Branch1][C][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring2][Ring2][Ring1][=C][Ring2][Ring2][=Branch2][O][C]
.ALPHA.-PYRROLIDINONONANOPHENONE,1,1:Synthetic Small Molecule,1,Racemic Mixture,CCCCCCCC(C(=O)c1ccccc1)N1CCCC1,[C][C][C][C][C][C][C][C][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][C][Ring1][Branch1]
XIBORNOL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,Cc1cc(O)c(C2CC3CCC2(C)C3(C)C)cc1C,[C][C][=C][C][Branch1][C][O][=C][Branch2][Ring1][Ring1][C][C][C][C][C][C][Ring1][=Branch1][Branch1][C][C][C][Ring1][=Branch1][Branch1][C][C][C][C][=C][Ring1][P][C]
AZD-1480,2,1:Synthetic Small Molecule,1,Single Stereoisomer,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,[C][C][C][=C][Branch2][Ring1][=N][N][C][=N][C][Branch1][P][N][C@@H1][Branch1][C][C][C][=N][C][=C][Branch1][C][F][C][=N][Ring1][#Branch1][=N][C][=C][Ring1][S][Cl][NH1][N][=Ring2][Ring1][#Branch1]
CEFPODOXIME PROXETIL,4,1:Synthetic Small Molecule,0,Racemic Mixture,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,[C][O][C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][O][C][Branch1][C][C][O][C][=Branch1][C][=O][O][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][/C][=Branch1][Ring2][=N][\O][C][C][=C][S][C][Branch1][C][N][=N][Ring1][=Branch1][C@H1][Ring2][Ring1][C][S][C][Ring2][Ring2][C]
CIFENLINE,-1,1:Synthetic Small Molecule,1,Racemic Mixture,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,[C][=C][C][=C][Branch2][Ring1][#Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=Branch2][C][=N][C][C][N][Ring1][Branch1][C][=C][Ring2][Ring1][Ring2]
PERFOSFAMIDE,2,1:Synthetic Small Molecule,1,Racemic Mixture,O=P1(N(CCCl)CCCl)NC(OO)CCO1,[O][=P][Branch1][#Branch2][N][Branch1][Ring2][C][C][Cl][C][C][Cl][N][C][Branch1][Ring1][O][O][C][C][O][Ring1][#C]
TALAROZOLE,2,1:Synthetic Small Molecule,0,Racemic Mixture,CCC(CC)C(c1ccc(Nc2nc3ccccc3s2)cc1)n1cncn1,[C][C][C][Branch1][Ring1][C][C][C][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][#C][N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][=C][Ring1][S][N][C][=N][C][=N][Ring1][Branch1]
